longitude,latitude,year,month,area,ndvi,t2m_c,td2m_c,rh_pct,tp_m,ssrd_jm2,LC_Type1,sand,silt,clay,soc,ph,bdod,cec,POP
31.158066,30.2867,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,424,298,279,369,72,134,195,3.509249
31.11315,30.610094,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,50,385,279,337,334,75,129,185,10.245003
31.31078,30.295683,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,50,426,255,319,298,74,131,186,157.432
31.25688,30.43043,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,399,270,330,372,74,133,187,22.209887
31.445526,30.565178,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,50,327,284,390,331,74,133,190,161.65343
31.16705,30.68196,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,355,281,365,418,74,130,185,0.63860524
31.0862,30.610094,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,10,412,271,318,390,74,129,187,66.380135
31.292812,30.655008,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,356,312,333,440,73,130,190,2.0207908
31.11315,30.619076,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,374,288,338,351,74,128,191,62.5783
31.02332,30.60111,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,368,272,360,422,74,130,187,0.39744654
31.122133,30.574162,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,357,296,349,282,75,135,188,39.95455
31.319763,30.43043,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,377,260,363,293,76,133,196,14.947266
31.45451,30.080088,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,60,434,254,312,38,80,136,154,8.701538
31.292812,30.394497,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,392,257,352,294,75,133,184,10.549918
31.104166,30.268734,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,10,437,287,276,592,71,130,217,2.1992037
31.005352,30.726873,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,369,289,342,344,74,128,176,0.055346362
31.337729,30.735857,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,356,305,339,511,73,129,189,0.66103166
31.337729,30.250767,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,424,267,309,311,73,133,177,7.4780455
31.409594,30.133986,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,50,490,266,245,48,80,137,136,3.3247879
31.373661,30.843655,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,50,359,296,344,564,71,130,190,3.3782444
31.42756,30.017204,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,50,439,234,326,47,80,140,138,27.616428
31.355696,30.726873,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,349,293,358,416,73,129,186,78.96702
31.041285,30.960436,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,373,292,336,583,72,132,171,3.1881788
31.220947,30.520262,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,396,315,290,512,74,132,187,0.5516124
31.11315,30.48433,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,399,278,323,412,73,133,212,4.4392343
31.301796,30.556194,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,20,386,323,292,500,72,133,209,18.24186
31.292812,30.637043,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,341,308,352,413,73,129,188,8.352292
31.364677,30.74484,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,350,300,351,389,73,129,187,24.221594
31.391628,30.295683,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,428,315,258,86,80,140,144,1.1190077
31.131117,30.48433,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,413,282,306,449,73,134,204,7.3939986
31.220947,30.31365,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,441,267,293,345,74,133,183,3.2490413
31.28383,30.708908,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,390,297,313,352,75,129,184,12.35886
31.211964,30.556194,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,376,308,316,402,74,132,193,6.5650153
31.445526,30.717892,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,339,305,358,430,73,128,187,0.944513
31.418577,30.68196,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,323,287,390,398,73,129,191,0.47271526
31.077217,30.241783,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,50,426,292,283,356,72,132,194,177.21715
31.337729,30.897554,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,369,281,351,478,73,129,189,105.84649
31.31078,30.88857,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,362,287,352,498,71,130,189,0.15902473
31.28383,30.717892,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,384,296,320,390,75,130,184,0.1376865
31.337729,30.008223,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,50,463,224,313,46,80,141,144,62.545086
31.104166,30.160936,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,50,433,274,294,343,73,131,214,165.88405
31.45451,30.493313,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,366,266,369,379,74,131,191,9.599845
31.301796,30.367548,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,425,281,295,311,75,134,187,4.398541
31.122133,30.412464,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,10,412,300,288,497,73,129,186,0.62393194
31.059252,30.574162,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,365,297,339,437,74,132,190,98.851006
31.364677,30.268734,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,50,440,305,255,82,80,136,145,5.4872274
31.077217,30.79874,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,371,257,373,460,73,130,193,2.7272105
31.328745,30.421448,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,375,259,366,319,75,133,199,3.54737
31.247898,30.699924,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,50,325,268,407,279,73,129,185,169.5058
31.42756,30.906538,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,370,268,362,524,72,129,197,1.0E-6
31.0862,30.762808,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,352,276,372,445,73,129,195,4.1643224
31.176031,30.48433,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,375,334,292,355,76,132,183,26.353718
31.328745,30.951452,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,366,277,359,446,72,130,174,0.23534864
31.292812,30.412464,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,383,256,361,295,76,132,192,54.811646
31.238914,30.735857,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,388,285,327,288,77,126,176,10.80022
31.095184,30.780773,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,361,261,378,412,73,129,190,44.624557
31.149082,30.62806,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,347,288,366,388,74,128,187,9.393718
31.068233,30.035172,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,60,416,301,284,52,81,138,149,0.5509345
31.274847,30.753824,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,378,300,323,483,72,129,192,1.6579514
31.176031,30.619076,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,341,297,362,355,74,129,190,20.22841
31.149082,30.133986,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,428,300,274,314,74,131,185,0.21908537
31.355696,30.232801,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,60,442,281,277,190,78,134,182,4.0944242
31.274847,30.322632,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,421,255,325,434,73,133,182,0.19797218
31.238914,30.187885,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,430,271,299,309,72,135,173,4.2393417
31.391628,30.367548,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,394,246,362,329,73,133,181,32.7493
31.095184,30.196869,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,50,429,272,299,499,73,126,212,199.48268
31.014336,30.511278,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,388,305,308,379,73,131,191,7.8371043
31.02332,30.277718,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,429,280,292,407,72,131,220,9.854437
31.364677,30.88857,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,368,276,357,533,72,130,196,0.6616283
31.436543,30.14297,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,50,469,252,280,47,80,139,140,53.020382
31.149082,30.385515,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,50,423,276,301,385,72,132,195,40.216305
31.202982,30.304667,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,50,429,288,284,289,73,134,188,7.691742
31.25688,30.789757,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,406,276,318,493,72,130,179,0.017673584
31.481459,30.933487,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,367,280,353,542,72,129,209,31.240088
31.0862,30.232801,2025,10,Dakahlia,0.0,-273.15,-273.15,100.0,0.0,0.0,40,424,302,275,355,72,131,186,15.877668
