longitude,latitude,year,month,area,ndvi,t2m_c,td2m_c,rh_pct,tp_m,ssrd_jm2,LC_Type1,sand,silt,clay,soc,ph,bdod,cec,POP
30.88857,28.714647,2024,6,Fayoum,0.65975,32.4646,11.283375,27.357748,2.2991709E-4,1.2846122E10,40,508,228,264,687,79,124,201,0.0234186
30.789757,28.831429,2024,6,Fayoum,0.3912,32.571,11.772372,28.087934,2.2991709E-4,1.2851884E10,40,562,177,262,291,80,131,180,4.112497
30.852638,29.038042,2024,6,Fayoum,0.204,32.45672,12.323798,29.31577,2.2991709E-4,1.2770508E10,40,533,233,234,114,80,134,153,15.109926
30.897554,28.840412,2024,6,Fayoum,0.5792,32.64486,11.638163,27.724192,2.2991709E-4,1.2818964E10,40,526,196,280,288,76,129,211,64.02722
30.852638,28.80448,2024,6,Fayoum,0.57695,32.64486,11.638163,27.724192,2.2991709E-4,1.2818964E10,40,508,226,266,320,76,129,203,17.846159
30.951452,29.109907,2024,6,Fayoum,0.53155,32.45097,12.416949,29.505367,2.2991709E-4,1.27725E10,40,508,242,251,314,77,129,190,0.31694406
31.005352,29.208721,2024,6,Fayoum,0.2202,32.2617,12.549697,30.0839,2.4079494E-4,1.276511E10,60,496,248,257,96,81,131,147,0.40233007
30.96942,29.100924,2024,6,Fayoum,0.40555,32.45097,12.416949,29.505367,2.2991709E-4,1.27725E10,40,513,233,255,322,77,129,188,2.0658832
30.879587,28.94821,2024,6,Fayoum,0.56925,32.694653,12.044374,28.39756,2.2991709E-4,1.2784258E10,40,540,184,278,316,75,129,205,1.16117575E-4
30.852638,29.020075,2024,6,Fayoum,0.44305,32.45672,12.323798,29.31577,2.2991709E-4,1.2770508E10,40,514,227,260,119,80,133,165,0.76374495
30.987385,29.11889,2024,6,Fayoum,0.5967,32.45097,12.416949,29.505367,2.2991709E-4,1.27725E10,40,529,209,263,333,76,129,193,5.2931986
30.726873,28.732615,2024,6,Fayoum,0.4231,32.3674,11.530629,27.962538,2.2991709E-4,1.2900169E10,40,555,175,271,245,80,132,200,14.935015
31.140099,29.100924,2024,6,Fayoum,0.37525,32.402702,12.0712,28.92062,2.2991709E-4,1.2852575E10,80,530,234,237,422,74,126,185,8.736791
31.0862,29.064991,2024,6,Fayoum,0.4652,32.402702,12.0712,28.92062,2.2991709E-4,1.2852575E10,40,532,232,236,259,77,129,197,205.86505
30.951452,29.26262,2024,6,Fayoum,0.09135,32.045807,12.658881,30.672848,2.7237795E-4,1.276936E10,60,491,264,245,51,81,139,151,0.018037003
30.88857,29.253637,2024,6,Fayoum,0.40025,32.17226,12.949963,31.040098,2.897825E-4,1.2724588E10,40,484,252,265,200,80,132,162,10.039774
30.879587,28.77753,2024,6,Fayoum,0.5732,32.64486,11.638163,27.724192,2.2991709E-4,1.2818964E10,40,521,204,277,303,75,128,210,0.889761
30.780773,29.082958,2024,6,Fayoum,0.10095,32.07071,12.62921,30.570055,2.4534724E-4,1.2782344E10,60,541,187,273,47,81,130,171,0.13836871
31.122133,29.26262,2024,6,Fayoum,0.48455,32.164894,12.398433,29.950216,2.5586746E-4,1.2823212E10,40,512,217,271,254,77,131,189,6.2964206
30.91552,29.307537,2024,6,Fayoum,0.5329,32.17226,12.949963,31.040098,2.897825E-4,1.2724588E10,40,498,231,272,282,79,132,190,18.51595
30.852638,28.822447,2024,6,Fayoum,0.5457,32.64486,11.638163,27.724192,2.2991709E-4,1.2818964E10,40,517,226,259,307,75,129,203,67.32859
30.753824,29.109907,2024,6,Fayoum,0.33065,32.07071,12.62921,30.570055,2.4534724E-4,1.2782344E10,40,508,254,238,104,80,135,152,15.482729
30.82569,29.127872,2024,6,Fayoum,0.3167,32.07071,12.62921,30.570055,2.4534724E-4,1.2782344E10,40,502,245,254,341,79,130,179,4.7500002E-6
30.82569,28.732615,2024,6,Fayoum,0.6017,32.661865,11.519919,27.481873,2.2991709E-4,1.2884687E10,40,516,224,261,309,77,130,191,70.44212
30.74484,28.615833,2024,6,Fayoum,0.31785,32.588375,11.357694,27.301302,2.2991709E-4,1.2859626E10,40,547,188,266,258,78,131,208,6.2201376
30.987385,29.253637,2024,6,Fayoum,0.09225,32.045807,12.658881,30.672848,2.7237795E-4,1.276936E10,60,506,245,250,46,81,136,156,0.18211974
30.68196,28.72363,2024,6,Fayoum,0.1988,32.3674,11.530629,27.962538,2.2991709E-4,1.2900169E10,40,525,253,222,126,81,131,143,6.00805E-6
30.789757,29.163805,2024,6,Fayoum,0.4109,32.15798,12.957935,31.081411,2.7399472E-4,1.2716216E10,40,518,228,254,312,79,129,184,0.21466284
31.211964,29.28957,2024,6,Fayoum,0.43775,32.33807,12.191252,29.256842,2.514269E-4,1.2889464E10,40,504,230,267,567,76,121,187,2.5548158
30.816706,29.244654,2024,6,Fayoum,0.6523,32.15798,12.957935,31.081411,2.7399472E-4,1.2716216E10,40,508,235,257,295,77,130,196,6.487785E-5
30.735857,28.678715,2024,6,Fayoum,0.53465,32.3674,11.530629,27.962538,2.2991709E-4,1.2900169E10,40,559,170,273,304,77,131,210,0.93237585
31.131117,29.325502,2024,6,Fayoum,0.4149,32.164894,12.398433,29.950216,2.5586746E-4,1.2823212E10,50,486,261,253,213,79,133,174,45.9111
31.149082,28.993126,2024,6,Fayoum,0.09945,32.283108,11.77139,28.546803,2.2991709E-4,1.2862412E10,60,553,206,241,43,81,134,160,0.0
31.140099,29.217705,2024,6,Fayoum,0.58925,32.319042,12.265451,29.431673,2.2991709E-4,1.2828869E10,40,507,209,284,303,74,130,194,1.8913071
30.619076,29.253637,2024,6,Fayoum,0.2484,31.817465,13.321008,32.447815,4.2228363E-4,1.2713989E10,40,482,251,268,106,81,132,174,7.081493
31.131117,29.073975,2024,6,Fayoum,0.233,32.402702,12.0712,28.92062,2.2991709E-4,1.2852575E10,40,463,284,254,398,79,127,171,1.8399583
30.978403,28.930244,2024,6,Fayoum,0.4038,32.479057,11.738062,28.170256,2.2991709E-4,1.2811348E10,40,524,200,277,295,76,130,199,116.03501
30.94247,29.181772,2024,6,Fayoum,0.2632,32.182255,12.789814,30.699003,2.5512985E-4,1.2720863E10,50,467,292,242,136,81,133,143,82.55616
30.619076,29.298553,2024,6,Fayoum,0.55435,31.817465,13.321008,32.447815,4.2228363E-4,1.2713989E10,40,509,234,257,402,77,123,219,7.680769
30.780773,28.85838,2024,6,Fayoum,0.42805,32.341686,12.029284,28.940523,2.2991709E-4,1.2826358E10,40,527,204,269,184,80,130,175,0.55274266
30.843655,28.642782,2024,6,Fayoum,0.18205,32.70937,11.276299,26.969706,2.2991709E-4,1.2887276E10,50,509,237,253,355,77,127,191,207.56987
30.762808,28.894312,2024,6,Fayoum,0.1661,32.341686,12.029284,28.940523,2.2991709E-4,1.2826358E10,40,487,257,256,68,81,136,148,0.17272572
30.94247,29.271603,2024,6,Fayoum,0.09215,32.17226,12.949963,31.040098,2.897825E-4,1.2724588E10,60,519,225,257,47,81,135,152,1.0E-6
31.068233,29.011091,2024,6,Fayoum,0.27695,32.283108,11.77139,28.546803,2.2991709E-4,1.2862412E10,40,501,247,253,186,81,131,169,0.74222475
30.91552,28.975159,2024,6,Fayoum,0.4955,32.45672,12.323798,29.31577,2.2991709E-4,1.2770508E10,50,532,189,279,300,76,130,202,184.34976
30.951452,29.011091,2024,6,Fayoum,0.50505,32.55497,12.164589,28.849789,2.2991709E-4,1.2787414E10,40,525,210,266,296,79,131,185,4.0655913
30.807722,28.80448,2024,6,Fayoum,0.48325,32.571,11.772372,28.087934,2.2991709E-4,1.2851884E10,40,550,189,261,322,78,130,189,0.8257601
30.852638,29.271603,2024,6,Fayoum,0.48875,32.17226,12.949963,31.040098,2.897825E-4,1.2724588E10,40,526,242,232,282,79,131,192,37.929634
30.69094,28.597868,2024,6,Fayoum,0.41755,32.588375,11.357694,27.301302,2.2991709E-4,1.2859626E10,40,553,170,277,287,80,131,208,27.521315
30.780773,28.741598,2024,6,Fayoum,0.4672,32.661865,11.519919,27.481873,2.2991709E-4,1.2884687E10,40,551,172,277,277,78,129,211,5.727516
31.176031,29.038042,2024,6,Fayoum,0.07575,31.857616,11.17758,28.116404,2.2991709E-4,1.2942026E10,60,507,240,255,41,81,134,160,0.25293237
31.005352,29.334486,2024,6,Fayoum,0.44045,32.045807,12.658881,30.672848,2.7237795E-4,1.276936E10,40,499,227,275,223,79,133,183,5.0004907
30.672976,29.136856,2024,6,Fayoum,0.3188,31.88642,12.619676,30.87183,2.5488398E-4,1.2840079E10,40,516,210,275,265,78,126,206,11.27607
31.068233,29.029058,2024,6,Fayoum,0.3049,32.283108,11.77139,28.546803,2.2991709E-4,1.2862412E10,40,496,245,259,552,81,120,166,8.389332
31.014336,29.047024,2024,6,Fayoum,0.60565,32.55497,12.164589,28.849789,2.2991709E-4,1.2787414E10,40,504,239,257,299,74,131,181,6.8917475
30.852638,29.011091,2024,6,Fayoum,0.42865,32.45672,12.323798,29.31577,2.2991709E-4,1.2770508E10,40,531,214,256,159,80,131,176,14.966363
30.699924,28.651766,2024,6,Fayoum,0.47615,32.3674,11.530629,27.962538,2.2991709E-4,1.2900169E10,40,553,172,276,263,78,130,205,4.0148287
30.672976,29.325502,2024,6,Fayoum,0.518,32.05626,13.320058,32.009357,4.057359E-4,1.2686145E10,40,537,195,269,276,77,129,195,0.16761597
31.014336,29.23567,2024,6,Fayoum,0.4767,32.2617,12.549697,30.0839,2.4079494E-4,1.276511E10,40,500,256,244,218,80,131,181,34.955925
31.02332,29.226688,2024,6,Fayoum,0.4365,32.2617,12.549697,30.0839,2.4079494E-4,1.276511E10,40,510,256,235,220,80,130,180,11.428792
30.583143,29.307537,2024,6,Fayoum,0.5978,31.817465,13.321008,32.447815,4.2228363E-4,1.2713989E10,40,498,231,272,213,78,131,201,0.039126422
30.672976,29.109907,2024,6,Fayoum,0.37895,31.88642,12.619676,30.87183,2.5488398E-4,1.2840079E10,40,530,220,251,287,79,130,201,0.060103763
31.140099,29.09194,2024,6,Fayoum,0.29555,32.402702,12.0712,28.92062,2.2991709E-4,1.2852575E10,80,517,255,229,218,78,129,180,0.4539877
30.82569,28.66075,2024,6,Fayoum,0.50825,32.661865,11.519919,27.481873,2.2991709E-4,1.2884687E10,40,510,225,265,214,77,130,191,144.57927
30.672976,28.543968,2024,6,Fayoum,0.4767,32.83088,11.1842375,26.622578,2.2991709E-4,1.2828871E10,40,566,170,264,269,79,131,193,0.2675903
30.88857,28.624817,2024,6,Fayoum,0.44215,32.491615,11.018582,26.8403,2.2991709E-4,1.2883898E10,60,517,244,240,231,81,133,183,2.570528
31.068233,29.136856,2024,6,Fayoum,0.57805,32.402702,12.0712,28.92062,2.2991709E-4,1.2852575E10,40,519,203,279,300,74,130,208,3.5062861
30.574162,29.280586,2024,6,Fayoum,0.24815,31.817465,13.321008,32.447815,4.2228363E-4,1.2713989E10,60,483,259,257,60,80,134,164,1.1272341
30.96942,29.056007,2024,6,Fayoum,0.5368,32.45097,12.416949,29.505367,2.2991709E-4,1.27725E10,40,527,210,264,308,78,132,182,8.08698
