longitude,latitude,year,month,area,ndvi,t2m_c,td2m_c,rh_pct,tp_m,ssrd_jm2,LC_Type1,sand,silt,clay,soc,ph,bdod,cec,POP
27.771418,31.140099,2023,7,Matrouh,0.09615,26.721394,20.155369,67.26466,5.3882814E-4,1.2796938E10,60,386,334,281,151,79,149,150,0.15526828
27.7804,31.095184,2023,7,Matrouh,0.08845,26.721394,20.155369,67.26466,5.3882814E-4,1.2796938E10,60,347,367,287,157,79,147,163,2.3185562E-4
27.708534,31.131117,2023,7,Matrouh,0.08785,26.679989,19.876549,66.27409,5.809537E-4,1.2815594E10,60,385,333,283,151,80,148,154,0.022948824
28.328373,31.0323,2023,7,Matrouh,0.10315,27.520138,19.766287,62.65165,6.3136994E-4,1.2736733E10,60,386,319,297,160,80,148,162,0.059321873
27.852266,31.11315,2023,7,Matrouh,0.09915,27.089651,20.443817,67.00716,5.981664E-4,1.2757836E10,60,362,356,282,158,79,148,170,0.3086646
27.95108,31.02332,2023,7,Matrouh,0.1121,27.13921,19.691833,63.77186,7.027055E-4,1.2787277E10,60,345,321,335,149,79,142,182,7.023965E-5
27.55582,31.140099,2023,7,Matrouh,0.10035,26.677797,19.641178,65.32115,6.095267E-4,1.2832245E10,60,406,326,269,171,79,145,165,0.0028503062
27.744467,31.185015,2023,7,Matrouh,0.1112,26.74719,20.77353,69.7758,7.967952E-4,1.2719038E10,60,420,317,264,210,79,145,226,0.014963263
27.8343,31.220947,2023,7,Matrouh,0.09335,26.615131,21.018015,71.38724,7.27095E-4,1.2700515E10,60,429,298,273,315,79,141,215,0.37005156
27.798367,31.104166,2023,7,Matrouh,0.08975,26.721394,20.155369,67.26466,5.3882814E-4,1.2796938E10,60,399,325,277,156,79,149,160,0.026141748
27.771418,31.193998,2023,7,Matrouh,0.11205,26.615131,21.018015,71.38724,7.27095E-4,1.2700515E10,60,427,299,274,273,79,141,219,0.03577625
27.528872,31.041285,2023,7,Matrouh,0.1167,26.735592,18.545124,60.79566,5.258753E-4,1.2919676E10,60,349,379,273,147,80,142,165,2.25E-5
27.627687,31.193998,2023,7,Matrouh,0.10575,26.786692,20.607113,68.90313,0.0010430388,1.2724359E10,60,396,359,245,195,80,138,189,0.10903777
27.744467,31.158066,2023,7,Matrouh,0.1195,26.74719,20.77353,69.7758,7.967952E-4,1.2719038E10,60,415,294,292,159,80,147,165,9.2E-5
27.789383,31.11315,2023,7,Matrouh,0.0819,26.721394,20.155369,67.26466,5.3882814E-4,1.2796938E10,60,390,336,274,158,79,148,154,0.124439016
27.80735,31.16705,2023,7,Matrouh,0.10515,26.615131,21.018015,71.38724,7.27095E-4,1.2700515E10,60,362,348,290,161,79,146,172,0.28192312
27.843283,31.0862,2023,7,Matrouh,0.09225,26.721394,20.155369,67.26466,5.3882814E-4,1.2796938E10,60,351,361,289,157,80,146,171,7.2E-6
27.852266,31.0862,2023,7,Matrouh,0.0981,27.089651,20.443817,67.00716,5.981664E-4,1.2757836E10,60,354,365,282,157,80,146,174,1.1E-5
27.591753,31.131117,2023,7,Matrouh,0.091,26.677797,19.641178,65.32115,6.095267E-4,1.2832245E10,60,372,363,265,183,79,142,170,0.13380352
28.418203,31.041285,2023,7,Matrouh,0.09415,27.53405,19.66446,62.205982,6.0624286E-4,1.2752407E10,60,418,292,291,190,79,147,169,0.5165936
27.60972,31.104166,2023,7,Matrouh,0.1041,26.677797,19.641178,65.32115,6.095267E-4,1.2832245E10,60,361,331,309,146,79,147,163,5.3276766E-5
27.8343,31.202982,2023,7,Matrouh,0.10975,26.615131,21.018015,71.38724,7.27095E-4,1.2700515E10,60,434,319,248,168,79,147,198,0.07844961
28.43617,31.0323,2023,7,Matrouh,0.11695,27.53405,19.66446,62.205982,6.0624286E-4,1.2752407E10,50,415,294,291,190,79,148,169,8.764973
27.63667,31.193998,2023,7,Matrouh,0.09405,26.786692,20.607113,68.90313,0.0010430388,1.2724359E10,60,389,365,247,430,80,119,196,0.8260554
