longitude,latitude,year,month,area,ndvi,t2m_c,td2m_c,rh_pct,tp_m,ssrd_jm2,LC_Type1,sand,silt,clay,soc,ph,bdod,cec,POP
32.209095,30.178902,2024,12,NorthSinai,0.07785,14.631829,6.1171055,56.63301,0.0087975385,5.798355E9,60,366,261,373,47,80,138,161,0.5107449
33.6464,30.331615,2024,12,NorthSinai,0.0955,11.821464,4.2511463,59.754356,0.014832403,5.8799683E9,60,332,346,324,42,80,141,135,7.846121E-4
33.56555,31.0323,2024,12,NorthSinai,0.0968,14.747404,8.114727,64.45583,0.05019556,5.6582584E9,60,333,353,315,71,79,146,152,0.68366706
32.62232,30.160936,2024,12,NorthSinai,0.28215,14.583473,7.8934383,64.16839,0.014841017,5.776729E9,40,396,329,276,52,80,137,141,0.73445743
32.34384,29.846525,2024,12,NorthSinai,0.0962,14.731664,6.5978365,58.1648,0.013620879,5.9711227E9,60,413,306,281,58,80,137,146,1.868421E-5
34.122505,30.017204,2024,12,NorthSinai,0.0959,11.701146,2.9387279,54.91022,0.022651242,6.068841E9,60,352,353,296,41,81,137,138,0.034719784
33.22419,31.041285,2024,12,NorthSinai,0.1029,15.3733835,8.926292,65.4097,0.053628076,5.5866547E9,60,373,323,305,67,81,147,144,1.1638707
32.415707,31.068233,2024,12,NorthSinai,0.0735,16.614616,9.118777,61.21221,0.05076016,5.394246E9,60,341,348,312,202,80,143,195,7.3E-5
32.101295,30.96942,2024,12,NorthSinai,0.50505,16.152555,8.633024,61.005795,0.027606212,5.3602493E9,80,305,291,404,182,79,131,222,0.24623014
32.67622,30.035172,2024,12,NorthSinai,0.105,14.431353,7.0542717,61.19223,0.027921498,5.934506E9,60,399,302,299,57,80,141,156,3.03E-4
33.053513,30.187885,2024,12,NorthSinai,0.10135,11.789722,4.3787346,60.417355,0.034938812,5.899818E9,60,277,356,368,39,80,140,133,0.036669023
33.951828,31.104166,2024,12,NorthSinai,0.1046,14.336765,7.055705,61.5739,0.0705641,5.6896845E9,60,381,358,261,61,79,145,191,0.8221664
